##   Material Stack  --------------------------------------------
#
#    NumberOfLayers: 3
#
#    MaterialDescriptor: PMGI
#    Thickness/nm: 8900
#
#    MaterialDescriptor: NbTiN
#    Thickness/nm: 70
#
#    MaterialDescriptor: Si
#    Thickness/nm: 525000
#
##   Additional Information  ------------------------------------
#
#    Injection Energy/eV: 100000
#    Traced Electrons: 1000000
#    Z-Range/nm: 500 .. 500
#
##   Data  ------------------------------------------------------
#
#    Radius Ri/um  Energy_Density/Injected_Electron  E*/(eV/um^3)
##   ------------------------------------------------------------
     0.000000     8.221e+04
     0.001000     8.319e+04
     0.001047     8.139e+04
     0.001096     8.777e+04
     0.001148     8.815e+04
     0.001202     8.265e+04
     0.001259     7.853e+04
     0.001318     7.967e+04
     0.001380     8.337e+04
     0.001445     8.066e+04
     0.001514     8.355e+04
     0.001585     7.927e+04
     0.001660     7.940e+04
     0.001738     7.977e+04
     0.001820     8.753e+04
     0.001905     8.190e+04
     0.001995     8.095e+04
     0.002089     8.147e+04
     0.002188     7.968e+04
     0.002291     8.412e+04
     0.002399     7.973e+04
     0.002512     8.049e+04
     0.002630     7.993e+04
     0.002754     7.952e+04
     0.002884     8.116e+04
     0.003020     8.052e+04
     0.003162     8.184e+04
     0.003311     7.985e+04
     0.003467     8.139e+04
     0.003631     8.121e+04
     0.003802     7.969e+04
     0.003981     8.010e+04
     0.004169     8.016e+04
     0.004365     8.043e+04
     0.004571     8.106e+04
     0.004786     8.058e+04
     0.005012     7.955e+04
     0.005248     8.047e+04
     0.005495     8.039e+04
     0.005754     8.053e+04
     0.006026     7.913e+04
     0.006310     7.902e+04
     0.006607     7.912e+04
     0.006918     7.957e+04
     0.007244     7.920e+04
     0.007586     7.961e+04
     0.007943     7.821e+04
     0.008318     7.777e+04
     0.008710     7.801e+04
     0.009120     7.715e+04
     0.009550     7.622e+04
     0.010000     7.607e+04
     0.010471     7.611e+04
     0.010965     7.549e+04
     0.011482     7.514e+04
     0.012023     7.421e+04
     0.012589     7.382e+04
     0.013183     7.283e+04
     0.013804     7.232e+04
     0.014454     7.147e+04
     0.015136     6.998e+04
     0.015849     6.901e+04
     0.016596     6.759e+04
     0.017378     6.649e+04
     0.018197     6.504e+04
     0.019055     6.394e+04
     0.019953     6.183e+04
     0.020893     6.093e+04
     0.021878     5.909e+04
     0.022909     5.741e+04
     0.023988     5.540e+04
     0.025119     5.336e+04
     0.026303     5.109e+04
     0.027542     4.865e+04
     0.028840     4.643e+04
     0.030200     4.408e+04
     0.031623     4.152e+04
     0.033113     3.888e+04
     0.034674     3.640e+04
     0.036308     3.390e+04
     0.038019     3.122e+04
     0.039811     2.839e+04
     0.041687     2.579e+04
     0.043652     2.303e+04
     0.045709     2.058e+04
     0.047863     1.816e+04
     0.050119     1.594e+04
     0.052481     1.382e+04
     0.054954     1.184e+04
     0.057544     1.004e+04
     0.060256     8.437e+03
     0.063096     6.978e+03
     0.066069     5.778e+03
     0.069183     4.716e+03
     0.072444     3.861e+03
     0.075858     3.108e+03
     0.079433     2.506e+03
     0.083176     2.027e+03
     0.087096     1.636e+03
     0.091201     1.346e+03
     0.095499     1.109e+03
     0.100000     9.157e+02
     0.104713     7.697e+02
     0.109648     6.453e+02
     0.114815     5.395e+02
     0.120226     4.707e+02
     0.125893     4.028e+02
     0.131826     3.489e+02
     0.138038     3.009e+02
     0.144544     2.583e+02
     0.151356     2.245e+02
     0.158489     1.968e+02
     0.165959     1.690e+02
     0.173780     1.464e+02
     0.181970     1.293e+02
     0.190546     1.142e+02
     0.199526     1.001e+02
     0.208930     8.982e+01
     0.218776     7.842e+01
     0.229087     6.948e+01
     0.239883     6.343e+01
     0.251189     5.687e+01
     0.263027     5.110e+01
     0.275423     4.541e+01
     0.288403     3.981e+01
     0.301995     3.493e+01
     0.316228     3.102e+01
     0.331131     2.821e+01
     0.346737     2.574e+01
     0.363078     2.261e+01
     0.380189     1.983e+01
     0.398107     1.850e+01
     0.416869     1.613e+01
     0.436516     1.459e+01
     0.457088     1.285e+01
     0.478630     1.187e+01
     0.501187     1.013e+01
     0.524807     9.262e+00
     0.549541     8.500e+00
     0.575440     7.492e+00
     0.602560     6.580e+00
     0.630957     5.835e+00
     0.660693     5.120e+00
     0.691831     4.735e+00
     0.724436     3.793e+00
     0.758578     3.611e+00
     0.794328     3.171e+00
     0.831764     2.758e+00
     0.870964     2.411e+00
     0.912011     2.183e+00
     0.954993     2.013e+00
     1.000000     1.758e+00
     1.047129     1.534e+00
     1.096478     1.476e+00
     1.148154     1.292e+00
     1.202264     1.119e+00
     1.258925     1.032e+00
     1.318257     9.151e-01
     1.380384     7.926e-01
     1.445440     6.791e-01
     1.513561     6.268e-01
     1.584893     5.492e-01
     1.659587     4.674e-01
     1.737801     4.679e-01
     1.819701     4.392e-01
     1.905461     3.697e-01
     1.995262     3.048e-01
     2.089296     2.895e-01
     2.187762     2.688e-01
     2.290868     2.332e-01
     2.398833     2.027e-01
     2.511886     1.715e-01
     2.630268     1.635e-01
     2.754229     1.652e-01
     2.884032     1.627e-01
     3.019952     1.337e-01
     3.162278     1.329e-01
     3.311311     1.295e-01
     3.467369     1.168e-01
     3.630781     1.111e-01
     3.801894     1.096e-01
     3.981072     9.678e-02
     4.168694     9.502e-02
     4.365158     9.066e-02
     4.570882     8.695e-02
     4.786301     8.317e-02
     5.011872     8.387e-02
     5.248075     7.665e-02
     5.495409     7.509e-02
     5.754399     7.200e-02
     6.025596     6.768e-02
     6.309573     6.785e-02
     6.606934     6.705e-02
     6.918310     6.630e-02
     7.244360     6.209e-02
     7.585776     5.772e-02
     7.943282     6.236e-02
     8.317638     5.800e-02
     8.709636     5.511e-02
     9.120108     5.814e-02
     9.549926     5.688e-02
    10.000000     5.636e-02
    10.471285     5.386e-02
    10.964782     5.567e-02
    11.481536     5.570e-02
    12.022644     5.544e-02
    12.589254     5.627e-02
    13.182567     5.654e-02
    13.803843     5.312e-02
    14.454398     5.240e-02
    15.135612     5.532e-02
    15.848932     5.336e-02
    16.595869     5.544e-02
    17.378008     5.348e-02
    18.197009     5.398e-02
    19.054607     5.217e-02
    19.952623     5.089e-02
    20.892961     5.114e-02
    21.877616     4.963e-02
    22.908677     4.755e-02
    23.988329     4.736e-02
    25.118864     4.591e-02
    26.302680     4.295e-02
    27.542287     4.133e-02
    28.840315     3.859e-02
    30.199517     3.641e-02
    31.622777     3.427e-02
    33.113112     3.125e-02
    34.673685     2.812e-02
    36.307805     2.465e-02
