Surface Profile             
x       y           
[m]     [m]         
0  -1.4808968e-009            
6.6644452e-008  -1.7869886e-009            
1.332889e-007  -1.9031714e-009            
1.9993336e-007  -2.0189516e-009            
2.6657781e-007  -1.8971969e-009            
3.3322226e-007  -1.9609222e-009            
3.9986671e-007  -1.9357503e-009            
4.6651116e-007  -1.9857733e-009            
5.3315561e-007  -1.927555e-009            
5.9980007e-007  -1.5860809e-009            
6.6644452e-007  -1.715682e-009            
7.3308897e-007  -1.5739534e-009            
7.9973342e-007  -1.5355606e-009            
8.6637787e-007  -1.7748724e-009            
9.3302233e-007  -1.7687237e-009            
9.9966678e-007  -2.0845318e-009            
1.0663112e-006  -2.5080755e-009            
1.1329557e-006  -2.6591527e-009            
1.1996001e-006  -2.7247626e-009            
1.2662446e-006  -2.9483451e-009            
1.332889e-006  -2.927422e-009            
1.3995335e-006  -2.979409e-009            
1.4661779e-006  -2.9670271e-009            
1.5328224e-006  -2.8523493e-009            
1.5994668e-006  -2.8844351e-009            
1.6661113e-006  -2.833667e-009            
1.7327557e-006  -2.7546439e-009            
1.7994002e-006  -2.9370705e-009            
1.8660447e-006  -2.8919123e-009            
1.9326891e-006  -2.8671297e-009            
1.9993336e-006  -3.0487007e-009            
2.065978e-006  -2.9165378e-009            
2.1326225e-006  -3.0854919e-009            
2.1992669e-006  -3.3573017e-009            
2.2659114e-006  -3.1792194e-009            
2.3325558e-006  -3.2317335e-009            
2.3992003e-006  -3.2404312e-009            
2.4658447e-006  -3.055995e-009            
2.5324892e-006  -3.1719377e-009            
2.5991336e-006  -2.8809034e-009            
2.6657781e-006  -2.7865621e-009            
2.7324225e-006  -2.6891722e-009            
2.799067e-006  -2.5799201e-009            
2.8657114e-006  -2.5264329e-009            
2.9323559e-006  -2.3793343e-009            
2.9990003e-006  -2.4711114e-009            
3.0656448e-006  -2.1690937e-009            
3.1322892e-006  -2.2829472e-009            
3.1989337e-006  -2.2424497e-009            
3.2655781e-006  -1.9999998e-009            
3.3322226e-006  -2.2984821e-009            
3.398867e-006  -2.0139554e-009            
3.4655115e-006  -2.1466532e-009            
3.5321559e-006  -2.1748433e-009            
3.5988004e-006  -2.0852922e-009            
3.6654449e-006  -2.1411907e-009            
3.7320893e-006  -2.1293851e-009            
3.7987338e-006  -2.0087338e-009            
3.8653782e-006  -1.9242425e-009            
3.9320227e-006  -1.9008752e-009            
3.9986671e-006  -1.98498e-009            
4.0653116e-006  -2.1008808e-009            
4.131956e-006  -2.2784003e-009            
4.1986005e-006  -2.0714505e-009            
4.2652449e-006  -2.2573074e-009            
4.3318894e-006  -1.9890368e-009            
4.3985338e-006  -2.0929245e-009            
4.4651783e-006  -2.1579506e-009            
4.5318227e-006  -1.9258927e-009            
4.5984672e-006  -1.8057446e-009            
4.6651116e-006  -1.7012058e-009            
4.7317561e-006  -1.4568178e-009            
4.7984005e-006  -1.377617e-009            
4.865045e-006  -1.180515e-009            
4.9316894e-006  -8.8443937e-010            
4.9983339e-006  -6.8956906e-010            
5.0649783e-006  -6.2874616e-010            
5.1316228e-006  -4.4836911e-010            
5.1982672e-006  -8.5475683e-010            
5.2649117e-006  -1.1109742e-009            
5.3315561e-006  -1.4446816e-009            
5.3982006e-006  -1.7696925e-009            
5.464845e-006  -1.826588e-009            
5.5314895e-006  -1.8683863e-009            
5.598134e-006  -2.013351e-009            
5.6647784e-006  -1.9980594e-009            
5.7314229e-006  -1.7585184e-009            
5.7980673e-006  -1.8690981e-009            
5.8647118e-006  -1.691671e-009            
5.9313562e-006  -1.5110159e-009            
5.9980007e-006  -1.3495207e-009            
6.0646451e-006  -1.2665824e-009            
6.1312896e-006  -1.1527999e-009            
6.197934e-006  -1.1366189e-009            
6.2645785e-006  -8.265827e-010            
6.3312229e-006  -7.358807e-010            
6.3978674e-006  -6.5825123e-010            
6.4645118e-006  -5.4033388e-010            
6.5311563e-006  -6.4779076e-010            
6.5978007e-006  -8.2604579e-010            
6.6644452e-006  -8.0254348e-010            
6.7310896e-006  -1.1053683e-009            
6.7977341e-006  -1.0355229e-009            
6.8643785e-006  -1.2014672e-009            
6.931023e-006  -1.4807725e-009            
6.9976674e-006  -1.5038097e-009            
7.0643119e-006  -1.6223669e-009            
7.1309563e-006  -1.6688051e-009            
7.1976008e-006  -1.6485163e-009            
7.2642452e-006  -1.6485489e-009            
7.3308897e-006  -1.6700564e-009            
7.3975342e-006  -1.5708229e-009            
7.4641786e-006  -1.6532154e-009            
7.5308231e-006  -1.574463e-009            
7.5974675e-006  -1.4144919e-009            
7.664112e-006  -1.3030037e-009            
7.7307564e-006  -1.2473384e-009            
7.7974009e-006  -9.7039637e-010            
7.8640453e-006  -1.0481022e-009            
7.9306898e-006  -9.7180244e-010            
7.9973342e-006  -7.3526547e-010            
8.0639787e-006  -8.0554219e-010            
8.1306231e-006  -6.5214543e-010            
8.1972676e-006  -5.6913985e-010            
8.263912e-006  -8.5205877e-010            
8.3305565e-006  -7.6690901e-010            
8.3972009e-006  -1.0115122e-009            
8.4638454e-006  -1.0927125e-009            
