Surface Profile             
x       y           
[m]     [m]         
0  -4.6871304e-009            
6.6644452e-008  -5.2485555e-009            
1.332889e-007  -5.6812825e-009            
1.9993336e-007  -6.1370056e-009            
2.6657781e-007  -6.8165302e-009            
3.3322226e-007  -7.2270417e-009            
3.9986671e-007  -7.6640253e-009            
4.6651116e-007  -8.5129847e-009            
5.3315561e-007  -9.1836804e-009            
5.9980007e-007  -9.9524433e-009            
6.6644452e-007  -1.0732428e-008            
7.3308897e-007  -1.1574574e-008            
7.9973342e-007  -1.2242225e-008            
8.6637787e-007  -1.3259639e-008            
9.3302233e-007  -1.4034399e-008            
9.9966678e-007  -1.4774212e-008            
1.0663112e-006  -1.5784788e-008            
1.1329557e-006  -1.6508231e-008            
1.1996001e-006  -1.77384e-008            
1.2662446e-006  -1.8818373e-008            
1.332889e-006  -1.9799919e-008            
1.3995335e-006  -2.105303e-008            
1.4661779e-006  -2.2034176e-008            
1.5328224e-006  -2.3294259e-008            
1.5994668e-006  -2.4519897e-008            
1.6661113e-006  -2.5750265e-008            
1.7327557e-006  -2.6747646e-008            
1.7994002e-006  -2.8056315e-008            
1.8660447e-006  -2.9202198e-008            
1.9326891e-006  -3.0203439e-008            
1.9993336e-006  -3.1600687e-008            
2.065978e-006  -3.2676703e-008            
2.1326225e-006  -3.4015659e-008            
2.1992669e-006  -3.5237241e-008            
2.2659114e-006  -3.6314212e-008            
2.3325558e-006  -3.7573568e-008            
2.3992003e-006  -3.8662897e-008            
2.4658447e-006  -3.9641155e-008            
2.5324892e-006  -4.0885971e-008            
2.5991336e-006  -4.2090739e-008            
2.6657781e-006  -4.3198814e-008            
2.7324225e-006  -4.4489028e-008            
2.799067e-006  -4.5608442e-008            
2.8657114e-006  -4.6500641e-008            
2.9323559e-006  -4.7939277e-008            
2.9990003e-006  -4.9061938e-008            
3.0656448e-006  -5.0233858e-008            
3.1322892e-006  -5.1647984e-008            
3.1989337e-006  -5.271251e-008            
3.2655781e-006  -5.3854831e-008            
3.3322226e-006  -5.4936972e-008            
3.398867e-006  -5.619796e-008            
3.4655115e-006  -5.7279384e-008            
3.5321559e-006  -5.8362173e-008            
3.5988004e-006  -5.9424997e-008            
3.6654449e-006  -6.0296667e-008            
3.7320893e-006  -6.1564347e-008            
3.7987338e-006  -6.2537206e-008            
3.8653782e-006  -6.3775552e-008            
3.9320227e-006  -6.51278e-008            
3.9986671e-006  -6.6153089e-008            
4.0653116e-006  -6.7692585e-008            
4.131956e-006  -6.8793723e-008            
4.1986005e-006  -6.9955987e-008            
4.2652449e-006  -7.109916e-008            
4.3318894e-006  -7.2142574e-008            
4.3985338e-006  -7.3519757e-008            
4.4651783e-006  -7.4813208e-008            
4.5318227e-006  -7.6156628e-008            
4.5984672e-006  -7.745724e-008            
4.6651116e-006  -7.8872497e-008            
4.7317561e-006  -8.0011197e-008            
4.7984005e-006  -8.1419223e-008            
4.865045e-006  -8.2636616e-008            
4.9316894e-006  -8.3696207e-008            
4.9983339e-006  -8.5077912e-008            
5.0649783e-006  -8.6146522e-008            
5.1316228e-006  -8.6974733e-008            
5.1982672e-006  -8.8384562e-008            
5.2649117e-006  -8.9230197e-008            
5.3315561e-006  -9.0371115e-008            
5.3982006e-006  -9.1334554e-008            
5.464845e-006  -9.2418553e-008            
5.5314895e-006  -9.3343652e-008            
5.598134e-006  -9.43591e-008            
5.6647784e-006  -9.5316167e-008            
5.7314229e-006  -9.6009877e-008            
5.7980673e-006  -9.7121183e-008            
5.8647118e-006  -9.8106069e-008            
5.9313562e-006  -9.8876064e-008            
5.9980007e-006  -1.0011582e-007            
6.0646451e-006  -1.0077012e-007            
6.1312896e-006  -1.0187361e-007            
6.197934e-006  -1.026455e-007            
6.2645785e-006  -1.0334921e-007            
6.3312229e-006  -1.0432139e-007            
6.3978674e-006  -1.0504524e-007            
6.4645118e-006  -1.0581548e-007            
6.5311563e-006  -1.0655729e-007            
6.5978007e-006  -1.073553e-007            
6.6644452e-006  -1.0811384e-007            
6.7310896e-006  -1.087579e-007            
6.7977341e-006  -1.0943379e-007            
6.8643785e-006  -1.0982567e-007            
6.931023e-006  -1.104632e-007            
6.9976674e-006  -1.1102781e-007            
7.0643119e-006  -1.1163264e-007            
7.1309563e-006  -1.1254788e-007            
7.1976008e-006  -1.1300301e-007            
7.2642452e-006  -1.140835e-007            
7.3308897e-006  -1.1476725e-007            
7.3975342e-006  -1.153955e-007            
7.4641786e-006  -1.1627197e-007            
7.5308231e-006  -1.1697557e-007            
7.5974675e-006  -1.1755661e-007            
7.664112e-006  -1.1822024e-007            
7.7307564e-006  -1.1892512e-007            
7.7974009e-006  -1.1950887e-007            
7.8640453e-006  -1.202644e-007            
7.9306898e-006  -1.2115608e-007            
7.9973342e-006  -1.2154448e-007            
8.0639787e-006  -1.2242673e-007            
8.1306231e-006  -1.228992e-007            
8.1972676e-006  -1.234172e-007            
8.263912e-006  -1.2396536e-007            
8.3305565e-006  -1.2418259e-007            
8.3972009e-006  -1.245923e-007            
8.4638454e-006  -1.2493815e-007            
8.5304898e-006  -1.2515801e-007            
8.5971343e-006  -1.2579514e-007            
8.6637787e-006  -1.2627364e-007            
8.7304232e-006  -1.2690726e-007            
8.7970676e-006  -1.2744205e-007            
8.8637121e-006  -1.2800738e-007            
8.9303565e-006  -1.285965e-007            
8.997001e-006  -1.2918667e-007            
9.0636454e-006  -1.2971554e-007            
9.1302899e-006  -1.3004547e-007            
9.1969344e-006  -1.3051705e-007            
9.2635788e-006  -1.3088261e-007            
9.3302233e-006  -1.3147154e-007            
9.3968677e-006  -1.319673e-007            
9.4635122e-006  -1.3223167e-007            
9.5301566e-006  -1.3258358e-007            
9.5968011e-006  -1.3298971e-007            
9.6634455e-006  -1.3332359e-007            
9.73009e-006  -1.3389087e-007            
9.7967344e-006  -1.3442595e-007            
9.8633789e-006  -1.3487605e-007            
9.9300233e-006  -1.3552034e-007            
9.9966678e-006  -1.3637159e-007            
1.0063312e-005  -1.3658399e-007            
1.0129957e-005  -1.3744623e-007            
1.0196601e-005  -1.3769493e-007            
1.0263246e-005  -1.3822436e-007            
1.032989e-005  -1.3875711e-007            
1.0396534e-005  -1.3919022e-007            
1.0463179e-005  -1.3952444e-007            
1.0529823e-005  -1.4013786e-007            
1.0596468e-005  -1.405949e-007            
1.0663112e-005  -1.4107828e-007            
1.0729757e-005  -1.4174018e-007            
1.0796401e-005  -1.4219176e-007            
1.0863046e-005  -1.4246606e-007            
1.092969e-005  -1.4304387e-007            
1.0996335e-005  -1.4334203e-007            
1.1062979e-005  -1.4379193e-007            
1.1129623e-005  -1.4417893e-007            
1.1196268e-005  -1.4433064e-007            
1.1262912e-005  -1.4460456e-007            
1.1329557e-005  -1.4492616e-007            
1.1396201e-005  -1.4521106e-007            
1.1462846e-005  -1.4557441e-007            
1.152949e-005  -1.4590219e-007            
1.1596135e-005  -1.4612631e-007            
1.1662779e-005  -1.4652775e-007            
1.1729424e-005  -1.4664249e-007            
1.1796068e-005  -1.4702027e-007            
1.1862712e-005  -1.4727235e-007            
1.1929357e-005  -1.4759301e-007            
1.1996001e-005  -1.481829e-007            
1.2062646e-005  -1.4867276e-007            
1.212929e-005  -1.4896827e-007            
1.2195935e-005  -1.4940334e-007            
1.2262579e-005  -1.4978678e-007            
1.2329224e-005  -1.5004475e-007            
1.2395868e-005  -1.5068126e-007            
1.2462512e-005  -1.5081502e-007            
1.2529157e-005  -1.5099896e-007            
1.2595801e-005  -1.5146298e-007            
1.2662446e-005  -1.5150036e-007            
1.272909e-005  -1.518047e-007            
1.2795735e-005  -1.5212464e-007            
1.2862379e-005  -1.5245741e-007            
1.2929024e-005  -1.5270963e-007            
1.2995668e-005  -1.529935e-007            
1.3062313e-005  -1.5309708e-007            
1.3128957e-005  -1.5330716e-007            
1.3195601e-005  -1.5366655e-007            
1.3262246e-005  -1.5402935e-007            
1.332889e-005  -1.5439029e-007            
1.3395535e-005  -1.5495926e-007            
1.3462179e-005  -1.5508981e-007            
1.3528824e-005  -1.5530034e-007            
1.3595468e-005  -1.5574422e-007            
1.3662113e-005  -1.5589273e-007            
1.3728757e-005  -1.5630198e-007            
1.3795402e-005  -1.5661401e-007            
1.3862046e-005  -1.569636e-007            
1.392869e-005  -1.5732423e-007            
1.3995335e-005  -1.5762664e-007            
1.4061979e-005  -1.5795256e-007            
1.4128624e-005  -1.5829681e-007            
1.4195268e-005  -1.5848615e-007            
1.4261913e-005  -1.587689e-007            
1.4328557e-005  -1.5895747e-007            
1.4395202e-005  -1.5905112e-007            
1.4461846e-005  -1.5937536e-007            
1.452849e-005  -1.5950657e-007            
1.4595135e-005  -1.5974565e-007            
1.4661779e-005  -1.6005916e-007            
1.4728424e-005  -1.6035364e-007            
1.4795068e-005  -1.6033893e-007            
1.4861713e-005  -1.6058332e-007            
1.4928357e-005  -1.6086968e-007            
1.4995002e-005  -1.6075862e-007            
1.5061646e-005  -1.6120164e-007            
1.5128291e-005  -1.61412e-007            
1.5194935e-005  -1.6123246e-007            
1.5261579e-005  -1.6169952e-007            
1.5328224e-005  -1.616254e-007            
1.5394868e-005  -1.6188811e-007            
1.5461513e-005  -1.6217248e-007            
1.5528157e-005  -1.6235567e-007            
1.5594802e-005  -1.626064e-007            
1.5661446e-005  -1.6271682e-007            
1.5728091e-005  -1.6294944e-007            
1.5794735e-005  -1.6299099e-007            
1.586138e-005  -1.6317548e-007            
1.5928024e-005  -1.6336591e-007            
1.5994668e-005  -1.6342864e-007            
1.6061313e-005  -1.6390483e-007            
1.6127957e-005  -1.6403548e-007            
1.6194602e-005  -1.646025e-007            
1.6261246e-005  -1.6473363e-007            
1.6327891e-005  -1.6489635e-007            
1.6394535e-005  -1.6497599e-007            
1.646118e-005  -1.6510062e-007            
1.6527824e-005  -1.6517464e-007            
1.6594469e-005  -1.6537979e-007            
1.6661113e-005  -1.6543832e-007            
1.6727757e-005  -1.656227e-007            
1.6794402e-005  -1.6572523e-007            
1.6861046e-005  -1.6578226e-007            
1.6927691e-005  -1.6584679e-007            
1.6994335e-005  -1.6573185e-007            
1.706098e-005  -1.6550679e-007            
1.7127624e-005  -1.6543243e-007            
1.7194269e-005  -1.6536697e-007            
1.7260913e-005  -1.6511965e-007            
1.7327557e-005  -1.6517691e-007            
1.7394202e-005  -1.6495138e-007            
1.7460846e-005  -1.6465573e-007            
1.7527491e-005  -1.6471481e-007            
1.7594135e-005  -1.645734e-007            
1.766078e-005  -1.6452144e-007            
1.7727424e-005  -1.6465628e-007            
1.7794069e-005  -1.6453014e-007            
1.7860713e-005  -1.646653e-007            
1.7927358e-005  -1.6464032e-007            
1.7994002e-005  -1.6465361e-007            
1.8060646e-005  -1.644654e-007            
1.8127291e-005  -1.6453492e-007            
1.8193935e-005  -1.6423407e-007            
1.826058e-005  -1.6415779e-007            
