Surface Profile             
x       y           
[m]     [m]         
0  -7.4005628e-009            
2.2217285e-008  -1.0315701e-008            
4.443457e-008  -1.267987e-008            
6.6651855e-008  -1.4686669e-008            
8.886914e-008  -1.6256648e-008            
1.1108643e-007  -1.7989452e-008            
1.3330371e-007  -1.9241844e-008            
1.55521e-007  -2.1242497e-008            
1.7773828e-007  -2.3004404e-008            
1.9995557e-007  -2.500037e-008            
2.2217285e-007  -2.6987482e-008            
2.4439014e-007  -2.9197794e-008            
2.6660742e-007  -3.137537e-008            
2.8882471e-007  -3.3761545e-008            
3.1104199e-007  -3.6354421e-008            
3.3325928e-007  -3.8636816e-008            
3.5547656e-007  -4.1353068e-008            
3.7769385e-007  -4.3750291e-008            
3.9991113e-007  -4.6321482e-008            
4.2212842e-007  -4.8950975e-008            
4.443457e-007  -5.1642251e-008            
4.6656299e-007  -5.4398873e-008            
4.8878027e-007  -5.7097559e-008            
5.1099756e-007  -5.9868542e-008            
5.3321484e-007  -6.2721579e-008            
5.5543213e-007  -6.5662455e-008            
5.7764941e-007  -6.8564252e-008            
5.998667e-007  -7.1674133e-008            
6.2208398e-007  -7.4606584e-008            
6.4430127e-007  -7.7597828e-008            
6.6651855e-007  -8.0517347e-008            
6.8873584e-007  -8.3487669e-008            
7.1095312e-007  -8.6385901e-008            
7.3317041e-007  -8.934322e-008            
7.5538769e-007  -9.237131e-008            
7.7760498e-007  -9.522555e-008            
7.9982226e-007  -9.8672167e-008            
8.2203955e-007  -1.0145711e-007            
8.4425683e-007  -1.0482525e-007            
8.6647412e-007  -1.077795e-007            
8.886914e-007  -1.1105953e-007            
9.1090869e-007  -1.1416202e-007            
9.3312597e-007  -1.1732303e-007            
9.5534326e-007  -1.2041003e-007            
9.7756054e-007  -1.2328699e-007            
9.9977783e-007  -1.2645672e-007            
1.0219951e-006  -1.2941772e-007            
1.0442124e-006  -1.3253443e-007            
1.0664297e-006  -1.3542104e-007            
1.088647e-006  -1.3831467e-007            
1.1108643e-006  -1.4121349e-007            
1.1330815e-006  -1.4398848e-007            
1.1552988e-006  -1.4663825e-007            
1.1775161e-006  -1.4955069e-007            
1.1997334e-006  -1.522326e-007            
1.2219507e-006  -1.5506092e-007            
1.244168e-006  -1.5791907e-007            
1.2663852e-006  -1.6055275e-007            
1.2886025e-006  -1.6346661e-007            
1.3108198e-006  -1.6616343e-007            
1.3330371e-006  -1.6901499e-007            
1.3552544e-006  -1.7177245e-007            
1.3774717e-006  -1.7455814e-007            
1.399689e-006  -1.7737562e-007            
1.4219062e-006  -1.8010266e-007            
1.4441235e-006  -1.8287244e-007            
1.4663408e-006  -1.8557325e-007            
1.4885581e-006  -1.8872658e-007            
1.5107754e-006  -1.9146285e-007            
1.5329927e-006  -1.9466093e-007            
1.55521e-006  -1.9757923e-007            
1.5774272e-006  -2.0071733e-007            
1.5996445e-006  -2.0370777e-007            
1.6218618e-006  -2.0693211e-007            
1.6440791e-006  -2.1014811e-007            
1.6662964e-006  -2.1347933e-007            
1.6885137e-006  -2.1666999e-007            
1.7107309e-006  -2.1996526e-007            
1.7329482e-006  -2.2336608e-007            
1.7551655e-006  -2.2648578e-007            
1.7773828e-006  -2.2994668e-007            
1.7996001e-006  -2.3324785e-007            
1.8218174e-006  -2.3650199e-007            
1.8440347e-006  -2.3970837e-007            
1.8662519e-006  -2.4299865e-007            
1.8884692e-006  -2.4625521e-007            
1.9106865e-006  -2.4960956e-007            
1.9329038e-006  -2.5306918e-007            
1.9551211e-006  -2.5625548e-007            
1.9773384e-006  -2.5979995e-007            
1.9995557e-006  -2.6295666e-007            
2.0217729e-006  -2.6660569e-007            
2.0439902e-006  -2.7000129e-007            
2.0662075e-006  -2.7350614e-007            
2.0884248e-006  -2.7699153e-007            
2.1106421e-006  -2.8032131e-007            
2.1328594e-006  -2.8386852e-007            
2.1550766e-006  -2.8712806e-007            
2.1772939e-006  -2.9072303e-007            
2.1995112e-006  -2.9389977e-007            
2.2217285e-006  -2.9740624e-007            
2.2439458e-006  -3.0062241e-007            
2.2661631e-006  -3.0417589e-007            
2.2883804e-006  -3.0744453e-007            
2.3105976e-006  -3.1079973e-007            
2.3328149e-006  -3.1412381e-007            
2.3550322e-006  -3.175454e-007            
2.3772495e-006  -3.2106602e-007            
2.3994668e-006  -3.2442567e-007            
2.4216841e-006  -3.277396e-007            
2.4439014e-006  -3.3100892e-007            
2.4661186e-006  -3.3449346e-007            
2.4883359e-006  -3.3769588e-007            
2.5105532e-006  -3.4112153e-007            
2.5327705e-006  -3.4453349e-007            
2.5549878e-006  -3.4806101e-007            
2.5772051e-006  -3.5145462e-007            
2.5994223e-006  -3.5496666e-007            
2.6216396e-006  -3.5835205e-007            
2.6438569e-006  -3.618658e-007            
2.6660742e-006  -3.6564313e-007            
2.6882915e-006  -3.6904786e-007            
2.7105088e-006  -3.7282308e-007            
2.7327261e-006  -3.7621513e-007            
2.7549433e-006  -3.7984484e-007            
2.7771606e-006  -3.8334622e-007            
2.7993779e-006  -3.8697472e-007            
2.8215952e-006  -3.9061543e-007            
2.8438125e-006  -3.9414602e-007            
2.8660298e-006  -3.9807818e-007            
2.8882471e-006  -4.0166109e-007            
2.9104643e-006  -4.0551399e-007            
2.9326816e-006  -4.0913779e-007            
2.9548989e-006  -4.1303166e-007            
2.9771162e-006  -4.1669521e-007            
2.9993335e-006  -4.2049942e-007            
3.0215508e-006  -4.2432341e-007            
3.043768e-006  -4.2816449e-007            
3.0659853e-006  -4.3189329e-007            
3.0882026e-006  -4.3563522e-007            
3.1104199e-006  -4.3952475e-007            
3.1326372e-006  -4.4331577e-007            
3.1548545e-006  -4.4726146e-007            
3.1770718e-006  -4.5098836e-007            
3.199289e-006  -4.550023e-007            
3.2215063e-006  -4.5880846e-007            
3.2437236e-006  -4.6290838e-007            
3.2659409e-006  -4.6680226e-007            
3.2881582e-006  -4.7086048e-007            
3.3103755e-006  -4.7470733e-007            
3.3325928e-006  -4.787192e-007            
3.35481e-006  -4.8277897e-007            
3.3770273e-006  -4.8675773e-007            
3.3992446e-006  -4.9090334e-007            
3.4214619e-006  -4.9483366e-007            
3.4436792e-006  -4.9891724e-007            
3.4658965e-006  -5.0290314e-007            
3.4881137e-006  -5.0691249e-007            
3.510331e-006  -5.1082079e-007            
3.5325483e-006  -5.1475677e-007            
3.5547656e-006  -5.1885513e-007            
3.5769829e-006  -5.2286631e-007            
3.5992002e-006  -5.2703697e-007            
3.6214175e-006  -5.3085903e-007            
3.6436347e-006  -5.3495878e-007            
3.665852e-006  -5.3884596e-007            
3.6880693e-006  -5.4290273e-007            
3.7102866e-006  -5.4701945e-007            
3.7325039e-006  -5.5120332e-007            
3.7547212e-006  -5.5520514e-007            
3.7769385e-006  -5.5940708e-007            
3.7991557e-006  -5.6382238e-007            
3.821373e-006  -5.6781631e-007            
3.8435903e-006  -5.7239141e-007            
3.8658076e-006  -5.764221e-007            
3.8880249e-006  -5.8090517e-007            
3.9102422e-006  -5.8510009e-007            
3.9324595e-006  -5.8950884e-007            
3.9546767e-006  -5.9376657e-007            
3.976894e-006  -5.9838334e-007            
3.9991113e-006  -6.0286312e-007            
4.0213286e-006  -6.0732014e-007            
4.0435459e-006  -6.1187774e-007            
4.0657632e-006  -6.1640689e-007            
4.0879804e-006  -6.2102672e-007            
4.1101977e-006  -6.2535264e-007            
4.132415e-006  -6.2988468e-007            
4.1546323e-006  -6.3438111e-007            
4.1768496e-006  -6.3896581e-007            
4.1990669e-006  -6.4350934e-007            
4.2212842e-006  -6.4800192e-007            
4.2435014e-006  -6.5256309e-007            
4.2657187e-006  -6.5693594e-007            
4.287936e-006  -6.613691e-007            
4.3101533e-006  -6.6574563e-007            
4.3323706e-006  -6.7032765e-007            
4.3545879e-006  -6.7462142e-007            
4.3768052e-006  -6.7926329e-007            
4.3990224e-006  -6.8376615e-007            
4.4212397e-006  -6.8838041e-007            
4.443457e-006  -6.9298417e-007            
4.4656743e-006  -6.9770171e-007            
4.4878916e-006  -7.0240539e-007            
4.5101089e-006  -7.0683619e-007            
4.5323261e-006  -7.1162783e-007            
4.5545434e-006  -7.160372e-007            
4.5767607e-006  -7.2107348e-007            
4.598978e-006  -7.2573808e-007            
4.6211953e-006  -7.3051268e-007            
4.6434126e-006  -7.3526929e-007            
4.6656299e-006  -7.4000045e-007            
4.6878471e-006  -7.4457498e-007            
4.7100644e-006  -7.4924609e-007            
4.7322817e-006  -7.5402405e-007            
4.754499e-006  -7.5878572e-007            
4.7767163e-006  -7.6352862e-007            
4.7989336e-006  -7.6812617e-007            
4.8211509e-006  -7.7296241e-007            
4.8433681e-006  -7.7766994e-007            
4.8655854e-006  -7.8250011e-007            
4.8878027e-006  -7.8720437e-007            
4.91002e-006  -7.9215933e-007            
4.9322373e-006  -7.9698715e-007            
4.9544546e-006  -8.0180144e-007            
4.9766718e-006  -8.0659933e-007            
4.9988891e-006  -8.1125404e-007            
5.0211064e-006  -8.1614887e-007            
5.0433237e-006  -8.2078781e-007            
5.065541e-006  -8.259272e-007            
5.0877583e-006  -8.3068964e-007            
5.1099756e-006  -8.355623e-007            
5.1321928e-006  -8.401714e-007            
5.1544101e-006  -8.4502537e-007            
5.1766274e-006  -8.5001391e-007            
5.1988447e-006  -8.5488099e-007            
5.221062e-006  -8.598681e-007            
5.2432793e-006  -8.6459025e-007            
5.2654966e-006  -8.6954411e-007            
5.2877138e-006  -8.7410285e-007            
5.3099311e-006  -8.7914822e-007            
5.3321484e-006  -8.8393793e-007            
5.3543657e-006  -8.888403e-007            
5.376583e-006  -8.934807e-007            
5.3988003e-006  -8.9849399e-007            
5.4210175e-006  -9.03391e-007            
5.4432348e-006  -9.08167e-007            
5.4654521e-006  -9.130804e-007            
5.4876694e-006  -9.1801651e-007            
5.5098867e-006  -9.2310381e-007            
5.532104e-006  -9.2808727e-007            
5.5543213e-006  -9.3308261e-007            
5.5765385e-006  -9.3808653e-007            
5.5987558e-006  -9.4296916e-007            
5.6209731e-006  -9.4785489e-007            
5.6431904e-006  -9.5300286e-007            
5.6654077e-006  -9.5803687e-007            
5.687625e-006  -9.6294543e-007            
5.7098423e-006  -9.6798121e-007            
5.7320595e-006  -9.7264586e-007            
5.7542768e-006  -9.7795669e-007            
5.7764941e-006  -9.8292383e-007            
5.7987114e-006  -9.8803767e-007            
5.8209287e-006  -9.9305099e-007            
5.843146e-006  -9.9808856e-007            
